epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,440.462,0.97066,0.77465,1.25804,0.86942,0.94079,0.96245,0.72572,0.99149,0.5756,1.2005,0.0001387,0.0001387,0.0001387
89,445.326,0.97355,0.79054,1.26841,0.86865,0.94778,0.96464,0.73134,0.98777,0.57245,1.20495,0.0001288,0.0001288,0.0001288
90,450.197,0.97165,0.77762,1.27167,0.89989,0.94585,0.96465,0.73052,0.9853,0.55902,1.19918,0.0001189,0.0001189,0.0001189
91,456.085,0.84074,0.55882,1.19053,0.88345,0.94684,0.96178,0.7129,1.00314,0.56656,1.21745,0.000109,0.000109,0.000109
92,461.026,0.83308,0.53156,1.18228,0.87738,0.95055,0.95686,0.72179,0.98017,0.55734,1.19063,9.91e-05,9.91e-05,9.91e-05
93,465.974,0.81845,0.51533,1.16204,0.89658,0.94933,0.96102,0.7321,0.96579,0.55046,1.18582,8.92e-05,8.92e-05,8.92e-05
94,470.929,0.81542,0.50421,1.16186,0.89879,0.9478,0.96425,0.73384,0.96974,0.55038,1.18719,7.93e-05,7.93e-05,7.93e-05
95,475.881,0.78844,0.50135,1.1483,0.89529,0.94987,0.96465,0.73906,0.95908,0.54562,1.18331,6.94e-05,6.94e-05,6.94e-05
96,480.875,0.80277,0.50088,1.15594,0.88307,0.95672,0.96351,0.73602,0.97256,0.54851,1.19026,5.95e-05,5.95e-05,5.95e-05
97,485.829,0.78805,0.50024,1.14574,0.89497,0.95372,0.96363,0.73703,0.95738,0.54205,1.1833,4.96e-05,4.96e-05,4.96e-05
98,490.785,0.78973,0.4924,1.14665,0.89539,0.95156,0.96521,0.74242,0.96014,0.54515,1.18333,3.97e-05,3.97e-05,3.97e-05
99,495.752,0.78058,0.48958,1.14823,0.89278,0.94619,0.96435,0.74105,0.95645,0.5419,1.17889,2.98e-05,2.98e-05,2.98e-05
100,500.627,0.77809,0.49001,1.1444,0.89793,0.94957,0.96529,0.73972,0.95727,0.54179,1.18001,1.99e-05,1.99e-05,1.99e-05
